"fold","case_id","volume_name","shape","n_voxels","tp","tn","fp","fn","precision","sensitivity","specificity","accuracy","dice","cldice","pred_voxels","gt_voxels","pred_connected_components","gt_connected_components","abs_cc_error","avd_percent","kappa"
"2","source_subject_10_volume_01","source_subject_10_volume_01.tiff","128x996x2665","339755520","41990036","295098838","2133490","533156","0.9516473366158452","0.9874619948568302","0.9928221468561118","0.9921512798379258","0.9692239237497721","0.9831745925251378","44123526","42523192","791","662","129","3.7634380786842154","0.9647277796254711"
"2","source_subject_10_volume_02","source_subject_10_volume_02.tiff","128x795x2669","271597440","18542294","251905698","749580","399868","0.9611452987926419","0.978890054894473","0.9970331908126614","0.9957678246157254","0.9699365246190593","0.9582488729303773","19291874","18942162","162","148","14","1.846209529830861","0.9676604183235865"
"3","source_subject_05_volume_01","source_subject_05_volume_01.tiff","128x1130x2076","300272640","52024788","240967343","385030","6895479","0.9926534757285362","0.8829693185198906","0.9984046976824213","0.9757536717297987","0.9346042985595493","0.9603020276088147","52409818","58920267","261","259","2","11.049591815325616","0.9197847074036786"
"3","source_subject_05_volume_02","source_subject_05_volume_02.tiff","128x1128x1993","287757312","46582483","237194547","772891","3207391","0.983678916779329","0.9355814597964237","0.9967521144636604","0.9861679205566113","0.9590275172286348","0.9789367537620711","47355374","49789874","387","265","122","4.88954842504723","0.9507132830031458"
"3","source_subject_01_volume_01","source_subject_01_volume_01.tiff","128x1073x2339","321247616","19567533","296722992","827628","4129463","0.9594203742740741","0.8257389670825788","0.9972185304134134","0.9845692520252042","0.8875743139533863","0.9264495327501381","20395161","23696996","1148","259","889","13.93355934228963","0.8793403038072476"
"3","source_subject_01_volume_02","source_subject_01_volume_02.tiff","128x1006x2672","344068096","29279953","308338050","2307088","4143005","0.9269609331244417","0.8760431377737422","0.9925732364109945","0.9812534405979914","0.9007830626177983","0.9266512676507065","31587041","33422958","881","302","579","5.49298180011476","0.8904409958956966"
"4","source_subject_06_volume_01","source_subject_06_volume_01.tiff","128x1039x2434","323702528","32242021","288004958","775732","2679817","0.976505608967394","0.923262429657912","0.9973137677591947","0.9893249242712123","0.9491379187136997","0.903468874247577","33017753","34921838","425","323","102","5.4524191996996265","0.9431798124130684"
"4","source_subject_06_volume_02","source_subject_06_volume_02.tiff","128x1063x2336","317845504","23781249","292497115","208908","1358232","0.9912919286022179","0.9459721543177443","0.9992862873204355","0.995069491371506","0.9681019428638982","0.9524488022242081","23990157","25139481","409","235","174","4.57178889253919","0.965431786514361"
"4","source_subject_03_volume_01","source_subject_03_volume_01.tiff","128x1068x2167","296237568","41817630","247093783","3657895","3668260","0.9195634354963467","0.9193538919431938","0.9854122810695608","0.975269325057381","0.9194586517810877","0.9278077835528522","45475525","45485890","703","111","592","0.022787286343083538","0.9048505671348444"
"4","source_subject_03_volume_02","source_subject_03_volume_02.tiff","128x1228x2114","332286976","28277472","302059069","1866667","83768","0.9380752921820059","0.9970463914835882","0.9938581476364344","0.994130269493319","0.9666622961283611","0.989739370985747","30144139","28361240","330","392","62","6.286392978586267","0.9634473975150902"
