dataset,fold,case,deepbranchai_dice,scratch_dice,deepbranchai_cldice,scratch_cldice,deepbranchai_abs_cc_error,scratch_abs_cc_error
Plant CT roots,1,plant_001,0.5594383412,0.4560987345,0.6336708621,0.5672417941,1.0,20.0
Plant CT roots,1,plant_006,0.8068040505,0.8007697027,0.8563097482,0.8548218958,14.0,57.0
Plant CT roots,1,plant_011,0.7200991878,0.7194602829,0.8807731295,0.753281087,12.0,21.0
Plant CT roots,1,plant_016,0.7925472052,0.7324376537,0.7570621469,0.7428571429,0.0,0.0
Plant CT roots,1,plant_021,0.06497964343,0.02377246829,0.05950167348,0.09943181818,11.0,24.0
Plant CT roots,1,plant_026,0.5286454326,0.5412036912,0.672030898,0.724148769,9.0,13.0
Plant CT roots,2,plant_002,0.7516758902,0.7808304994,0.6261829653,0.8396641178,74.0,28.0
Plant CT roots,2,plant_007,0.8490361191,0.8119856568,0.8387141647,0.7529284799,45.0,17.0
Plant CT roots,2,plant_012,0.8548981475,0.838057105,0.8757548716,0.8426372472,27.0,36.0
Plant CT roots,2,plant_017,0.3439544566,0.08746538482,0.2519462137,0.1351652432,9.0,4.0
Plant CT roots,2,plant_022,0.7016612327,0.58183758,0.730713246,0.6820081411,2.0,1.0
Plant CT roots,2,plant_027,0.7122423008,0.4260382251,0.7189063835,0.5284373274,1.0,0.0
Plant CT roots,3,plant_003,0.48667968,0.4447445902,0.2936098393,0.22383757,25.0,5.0
Plant CT roots,3,plant_008,0.7573405571,0.6795594197,0.7126972587,0.534440678,22.0,29.0
Plant CT roots,3,plant_013,0.914244774,0.8228700514,0.9682825336,0.8983344957,0.0,20.0
Plant CT roots,3,plant_018,0.8969298717,0.8582348085,0.9829467341,0.7906957693,16.0,66.0
Plant CT roots,3,plant_023,0.08425346368,0.1491308975,0.04600521392,0.2460485251,12.0,29.0
Plant CT roots,3,plant_028,0.5375801521,0.2882024388,0.4897518878,0.3130190271,7.0,11.0
Plant CT roots,4,plant_004,0.5068043726,0.4465448551,0.3385469888,0.2327307435,25.0,13.0
Plant CT roots,4,plant_009,0.0,0.0001954843124,0.0,0.0,6.0,4.0
Plant CT roots,4,plant_014,0.9031433114,0.9149541696,0.8536121673,0.9861068231,12.0,27.0
Plant CT roots,4,plant_019,0.8699855002,0.874706343,0.7179802956,0.768115942,1.0,0.0
Plant CT roots,4,plant_024,0.5727665619,0.4469523611,0.6596306069,0.5900813194,2.0,7.0
